,session_name,session_id,session_type,room_name,start_datetime,end_datetime,special_session_description,special_session_id
40,Smart and Adaptive Process Control in Manufacturing and Food Systems,18,Presentation,105 | Cobb Galleria Centre,6/3/2025 15:00,6/3/2025 16:20,,
41,"Physics-Informed Modeling, Monitoring, and Prediction",19,Presentation,116 | Cobb Galleria Centre,6/3/2025 8:00,6/3/2025 9:20,,
42,Spatio-temporal Analysis in Engineering Applications,20,Presentation,116 | Cobb Galleria Centre,6/3/2025 15:00,6/3/2025 16:20,,
43,Process Monitoring and Instrument Calibration,21,Presentation,120 | Cobb Galleria Centre,6/3/2025 8:00,6/3/2025 9:20,,
44,Human-Centered Efficiency in Smart Systems,22,Presentation,120 | Cobb Galleria Centre,6/3/2025 12:00,6/3/2025 13:20,,
45,Text based Analysis with Large Models,23,Presentation,120 | Cobb Galleria Centre,6/3/2025 13:30,6/3/2025 14:50,,
46,Time-Series Modeling and Intelligent System Analytics,24,Presentation,120 | Cobb Galleria Centre,6/3/2025 15:00,6/3/2025 16:20,,
47,Energy Systems Town Hall,,Town Hall,109 | Cobb Galleria Centre,6/2/2025 15:00,6/2/2025 16:20,,23
48,Closing Workforce Gaps,25,Presentation,Stanhope | Renaissance Waverly Hotel,6/1/2025 8:00,6/1/2025 9:20,,
49,"Orientation, Mentoring and Career Transition",26,Presentation,Ansley | Renaissance Waverly Hotel,6/1/2025 12:00,6/1/2025 13:20,,
50,ISE Education and Sustainability,27,Presentation,Ansley | Renaissance Waverly Hotel,6/2/2025 8:00,6/2/2025 9:20,,
51,Broadening Horizons in Industrial and Systems Engineering,28,Presentation,Ansley | Renaissance Waverly Hotel,6/2/2025 12:00,6/2/2025 13:20,,
52,Identity Formation and Communication in the ISE Curriculum,29,Presentation,Ansley | Renaissance Waverly Hotel,6/3/2025 8:00,6/3/2025 9:20,,
53,AI in Engineering Education,30,Presentation,Ansley | Renaissance Waverly Hotel,6/3/2025 12:00,6/3/2025 13:20,,
54,Innovations in Engineering Education,31,Presentation,Ansley | Renaissance Waverly Hotel,6/3/2025 13:30,6/3/2025 14:50,,
55,"Computational Approaches to Layout, Scheduling, and Strategic Infrastructure Planning",32,Presentation,Fulton | Renaissance Waverly Hotel,6/1/2025 12:00,6/1/2025 13:20,,
56,Optimization of Stochastic Systems,33,Presentation,Brayton | Renaissance Waverly Hotel,6/1/2025 8:00,6/1/2025 9:20,,
57,Applications of Stochastic Systems,34,Presentation,Brayton | Renaissance Waverly Hotel,6/1/2025 12:00,6/1/2025 13:20,,
58,OR for Societal Good I,35,Presentation,Brayton | Renaissance Waverly Hotel,6/1/2025 13:30,6/1/2025 14:50,,
59,OR for Societal Good II,36,Presentation,Brayton | Renaissance Waverly Hotel,6/1/2025 15:00,6/1/2025 16:20,,
60,Optimization in Transportation,37,Presentation,Brayton | Renaissance Waverly Hotel,6/1/2025 16:30,6/1/2025 17:50,,
61,Optimization Models for Logistics,38,Presentation,Andover | Renaissance Waverly Hotel,6/1/2025 8:00,6/1/2025 9:20,,
62,Applications of Combinatorial Optimization,39,Presentation,Andover | Renaissance Waverly Hotel,6/1/2025 12:00,6/1/2025 13:20,,
63,Analysis of Stochastic Systems,40,Presentation,Andover | Renaissance Waverly Hotel,6/1/2025 13:30,6/1/2025 14:50,,
64,Integer Programming,41,Presentation,Andover | Renaissance Waverly Hotel,6/1/2025 15:00,6/1/2025 16:20,,
65,OR for Societal Good III,42,Presentation,Andover | Renaissance Waverly Hotel,6/1/2025 16:30,6/1/2025 17:50,,
66,Intersection of Operations Research and Machine Learning,43,Presentation,Waverly | Renaissance Waverly Hotel,6/1/2025 8:00,6/1/2025 9:20,,
67,Models for Disaster Relief and Resilience,44,Presentation,Waverly | Renaissance Waverly Hotel,6/1/2025 12:00,6/1/2025 13:20,,
68,Machine Learning and Optimization,45,Presentation,Brayton | Renaissance Waverly Hotel,6/2/2025 8:00,6/2/2025 9:20,,
69,Enhancing Optimization Algorithms using Artificial Intelligence and Machine Learning,46,Presentation,Brayton | Renaissance Waverly Hotel,6/2/2025 12:00,6/2/2025 13:20,,
70,Quantum Paradigms for Optimization and Sampling,,Special Session,Brayton | Renaissance Waverly Hotel,6/2/2025 13:30,6/2/2025 14:50,"Mathematical optimization and probabilistic sampling are indispensable components of modern decision-making, enabling people to rigorously model, analyze, and solve real-world problems in operations research, including logistics, finance, energy systems, and healthcare. Recently, quantum computing has gained attention in the OR community as a groundbreaking paradigm capable of solving complex computational problems faster than classical computers.

In this special session, we aim to narrow the gap between theorists and practitioners in quantum optimization and sampling.  The session consists of four talks:

Jiaqi Leng (Postdoctoral Researcher, UC Berkeley) and Lei Fan (Assistant Professor, University of Houston).  Quantum Hamiltonian Descent Algorithm for Nonlinear Optimization and Applications in Energy Systems
Guanyang Wang (Assistant Professor, Rutgers University).  A quantum-inside-quantum Monte Carlo algorithm
Ankit Kulshrestha (Senior Research Scientist, Fujitsu Research).  Looking in the future: Leveraging machine learning algorithms for quantum optimization
Mohammadhossein Mohammadisiahroudi (Postdoctoral Research Associate, Lehigh University).  On Accelerating Optimization Methods by Quantum Linear Algebra",24
71,Bridging the Gap between Academia and Industry,,Special Session,Brayton | Renaissance Waverly Hotel,6/2/2025 16:30,6/2/2025 17:50,"This panel aims to foster a discussion towards a better understanding of

the current level of collaboration between academia and industry, highlighting the gap between where we are now and the potential for stronger collaboration, while acknowledging different expectations in both sectors,
the challenges faced by cross-disciplinary teams when solving real-world problems,
what can be done on both sides to close the gap in between.",25
72,Infrastructure Network Resilience,47,Presentation,Andover | Renaissance Waverly Hotel,6/2/2025 8:00,6/2/2025 9:20,,
73,Stochastic Optimization Methodology and Applications,48,Presentation,Andover | Renaissance Waverly Hotel,6/2/2025 12:00,6/2/2025 13:20,,
74,"OR Applications in Drones, Electrified Transportation, and Power Distribution",49,Presentation,Andover | Renaissance Waverly Hotel,6/2/2025 13:30,6/2/2025 14:50,,
75,Methodology and Applications of Online and Dynamic Decision Making,50,Presentation,Andover | Renaissance Waverly Hotel,6/2/2025 15:00,6/2/2025 16:20,,
76,Optimization with Uncertainty,51,Presentation,Andover | Renaissance Waverly Hotel,6/2/2025 16:30,6/2/2025 17:50,,
77,OR in Transportation and Logistics,52,Presentation,Brayton | Renaissance Waverly Hotel,6/3/2025 8:00,6/3/2025 9:20,,
78,Applications of Game Theory and Learning,53,Presentation,Brayton | Renaissance Waverly Hotel,6/3/2025 13:30,6/3/2025 14:50,,
79,Interdiction and Security,54,Presentation,Waverly | Renaissance Waverly Hotel,6/3/2025 8:00,6/3/2025 9:20,,
80,Scheduling and Resource Allocation,55,Presentation,Waverly | Renaissance Waverly Hotel,6/3/2025 12:00,6/3/2025 13:20,,
81,"OR Applications in Energy, Sustainability, & Resilience",,Special Session,Waverly | Renaissance Waverly Hotel,6/3/2025 13:30,6/3/2025 14:50,,26
82,Industry Case Studies I,56,Presentation,Kennesaw | Renaissance Waverly Hotel,6/1/2025 8:00,6/1/2025 9:20,,
83,Industry Case Studies 2,57,Presentation,Stanhope | Renaissance Waverly Hotel,6/1/2025 12:00,6/1/2025 13:20,,
84,Professional Licensure for ISE’s,,Special Session,Stanhope | Renaissance Waverly Hotel,6/1/2025 13:30,6/1/2025 14:50,"Join our panel discussion to find out more about professional licensing for ISE's. Professional licensure for Industrial and Systems Engineers provides several key benefits:

Recognition of Competence: Licensure demonstrates that an ISE has met specific educational and experience requirements, ensuring they possess the necessary knowledge and skills to practice in the field.
Protection if the Public: Licensure protects the public by ensuring that engineers adhere to ethical standards and professional conduct, thereby reducing the risk of incompetence or malpractice.
Marketability: Holding a professional license enhances an ISE's marketability and credibility to potential employers and clients, as it signifies a commitment to high standards and ongoing professional development.
Legal Standing: Licensure provides legal recognition of an ISE's expertise, enabling them to engage in certain activities that may require licensure, such as signing off on engineering designs or serving as expert witnesses in legal proceedings.
Global Mobility: In some cases, licensure can facilitate mobility across borders by allowing industrial engineers to practice internationally, provided they meet equivalent licensure requirements in other jurisdictions.
Overall, professional licensure enhances the reputation, credibility, and opportunities for ISE's while safeguarding the public interest. Join our panel discussion to hear how licensure could fit into your career path and then visit us at the NCEES booth for a free practice exam!
",27
85,Women in Industrial & System Engineering:  How to be an advocate for women in the workplace,,Special Session,Stanhope | Renaissance Waverly Hotel,6/1/2025 15:00,6/1/2025 16:20,"In today’s environment with Diversity, Equity and Inclusion being challenged and historical events are slowly being removed this becomes a challenging environment for women and minorities in the workplace. Come and join our panel discussion to understand how we can advocate and support our employees. This will be a great discussion not only for women but men to understand how we can help at all levels of leadership and understand the current or potential impacts.",28
86,Professional Development I,58,Presentation,Stanhope | Renaissance Waverly Hotel,6/1/2025 16:30,6/1/2025 17:50,,
87,Panel on ISE Careers in Consulting,,Special Session,Kennesaw | Renaissance Waverly Hotel,6/2/2025 8:00,6/2/2025 9:20,"Tens of thousands of ISEs chose to work in the consulting industry. Many begin their careers immediately after receiving an undergraduate or master’s degree. Others spending years working in another industry before transitioning to consulting. This session will be a panel discussion on the diverse careers ISEs can have working in the Consulting Industry. Panelists will describe how they got into consulting, their different experiences, some of their lessons learned and take questions from the audience.",29
88,ISE Tools,59,Presentation,Kennesaw | Renaissance Waverly Hotel,6/2/2025 12:00,6/2/2025 13:20,,
89,Professional Development 2,60,Presentation,Kennesaw | Renaissance Waverly Hotel,6/2/2025 13:30,6/2/2025 14:50,,
90,Strategies for Finding a Work-Life Balance,,Special Session,Kennesaw | Renaissance Waverly Hotel,6/2/2025 15:00,6/2/2025 16:20,"In today’s fast-paced and hyper-connected world, achieving a sustainable work-life balance has become a critical challenge for professionals. This panel session will explore actionable strategies and innovative approaches for balancing the demands of work and personal life.  ISE leaders of varied backgrounds will share their personal experiences describing what has and hasn’t worked for them.  

The session will also examine the role of leadership in modeling work-life balance and how organizational policies, such as hybrid work models and wellness programs, can support employees in achieving harmony between their professional and personal responsibilities.
",30
91,Career and Personal Development Decisions,,Special Session,Kennesaw | Renaissance Waverly Hotel,6/3/2025 8:00,6/3/2025 9:20,"This Special Session will consist of a panels of industry members spanning the most important career decisions engineers encounter, presented as a collaboration between the IAB and YP organizations. The first panel will include both early and late career professionals, with a focus on career planning and goal setting. Topics will include “How to prepare for your first job” and “How to transition from College to Career.” The second panel will focus on the process of successfully executing the first job change after graduating. Topics will include “How to know when the time is right” and “How to job hunt with industry experience”. Panelists will be young professionals who have recently completed their first job switch after graduating. The third panel will consist of Directors and VPs who will give advice on transitioning into upper management roles. Topics will include “Building visibility” and “Pros/Cons of additional degrees and certifications”.",31
92,Academic Research Related to Industry I,61,Presentation,Kennesaw | Renaissance Waverly Hotel,6/3/2025 12:00,6/3/2025 13:20,,
93,Advances In Machine Learning Methods I,62,Presentation,106 | Cobb Galleria Centre,6/1/2025 8:00,6/1/2025 9:20,,
94,Advances In Machine Learning Methods II,63,Presentation,106 | Cobb Galleria Centre,6/1/2025 12:00,6/1/2025 13:20,,
95,DAIS Case Study Competition,,Special Session,106 | Cobb Galleria Centre,6/1/2025 13:30,6/1/2025 14:50,,32
96,DAIS Web/Mobile App Competition,,Special Session,106 | Cobb Galleria Centre,6/1/2025 15:00,6/1/2025 16:20,,33
97,AI Methods for Wildfire and Disaster Management,64,Presentation,106 | Cobb Galleria Centre,6/1/2025 16:30,6/1/2025 17:50,,
98,AI Methods for Complex Systems I,65,Presentation,113 | Cobb Galleria Centre,6/1/2025 8:00,6/1/2025 9:20,,
99,AI Methods for Complex Systems II,66,Presentation,113 | Cobb Galleria Centre,6/1/2025 12:00,6/1/2025 13:20,,
100,AI Methods for Complex Systems III,67,Presentation,113 | Cobb Galleria Centre,6/1/2025 13:30,6/1/2025 14:50,,
101,AI Methods for Complex Systems IV,68,Presentation,113 | Cobb Galleria Centre,6/1/2025 15:00,6/1/2025 16:20,,
102,Biological and Agricultural Data Analysis,69,Presentation,113 | Cobb Galleria Centre,6/1/2025 16:30,6/1/2025 17:50,,
103,AI and Analytics for Infrastructure Operations and Maintenance,70,Presentation,114 | Cobb Galleria Centre,6/1/2025 8:00,6/1/2025 9:20,,
104,Advances in Statistical and Physics-Informed Modeling,71,Presentation,114 | Cobb Galleria Centre,6/1/2025 12:00,6/1/2025 13:20,,
105,AI for System Analysis,72,Presentation,114 | Cobb Galleria Centre,6/1/2025 13:30,6/1/2025 14:50,,
106,ML for Risk Management and Cybersecurity,73,Presentation,114 | Cobb Galleria Centre,6/1/2025 16:30,6/1/2025 17:50,,
107,AI-Driven Innovation in Enterprise and Engineering Systems,74,Presentation,106 | Cobb Galleria Centre,6/2/2025 8:00,6/2/2025 9:20,,
108,DAIS Best Track Paper Competition,75,Presentation,106 | Cobb Galleria Centre,6/2/2025 12:00,6/2/2025 13:20,,
109,DAIS Best Student Paper Competition,,Special Session,106 | Cobb Galleria Centre,6/2/2025 13:30,6/2/2025 14:50,,34
110,Advanced AI Solutions in Health and Diagnostics,76,Presentation,106 | Cobb Galleria Centre,6/2/2025 15:00,6/2/2025 16:20,,
111,Generative Model and Its Application,77,Presentation,113 | Cobb Galleria Centre,6/2/2025 8:00,6/2/2025 9:20,,
112,AI Methods for Healthcare I,78,Presentation,113 | Cobb Galleria Centre,6/2/2025 12:00,6/2/2025 13:20,,
113,AI Methods for Healthcare II,79,Presentation,113 | Cobb Galleria Centre,6/2/2025 13:30,6/2/2025 14:50,,
114,AI Methods for Healthcare III,80,Presentation,113 | Cobb Galleria Centre,6/2/2025 15:00,6/2/2025 16:20,,
115,Trustworthy and Adaptive AI for Critical Systems I,81,Presentation,114 | Cobb Galleria Centre,6/2/2025 8:00,6/2/2025 9:20,,
116,Trustworthy and Adaptive AI for Critical Systems II,82,Presentation,114 | Cobb Galleria Centre,6/2/2025 12:00,6/2/2025 13:20,,
117,Complex Systems and Scientific Discovery I,83,Presentation,114 | Cobb Galleria Centre,6/2/2025 13:30,6/2/2025 14:50,,
118,Complex Systems and Scientific Discovery II,,Special Session,114 | Cobb Galleria Centre,6/2/2025 15:00,6/2/2025 16:20,,35
119,AI Methods for Healthcare IV,84,Presentation,113 | Cobb Galleria Centre,6/3/2025 8:00,6/3/2025 9:20,,
120,AI Methods for Healthcare V,85,Presentation,113 | Cobb Galleria Centre,6/3/2025 12:00,6/3/2025 13:20,,
121,AI Methods for Healthcare VI,86,Presentation,113 | Cobb Galleria Centre,6/3/2025 13:30,6/3/2025 14:50,,
122,AI Methods for Healthcare VII,87,Presentation,113 | Cobb Galleria Centre,6/3/2025 15:00,6/3/2025 16:20,,
123,Machine Learning for Time Series I,88,Presentation,114 | Cobb Galleria Centre,6/3/2025 8:00,6/3/2025 9:20,,
124,Machine Learning for Time Series II,89,Presentation,114 | Cobb Galleria Centre,6/3/2025 12:00,6/3/2025 13:20,,
125,Machine Learning Applications,90,Presentation,114 | Cobb Galleria Centre,6/3/2025 13:30,6/3/2025 14:50,,
126,LLM and Its Application,91,Presentation,106 | Cobb Galleria Centre,6/3/2025 8:00,6/3/2025 9:20,,
127,Extended Reality and ML Applications,92,Presentation,106 | Cobb Galleria Centre,6/3/2025 12:00,6/3/2025 13:20,,
128,Simulation for Planning and Intervention in Healthcare,93,Presentation,Fulton | Renaissance Waverly Hotel,6/1/2025 8:00,6/1/2025 9:20,,
129,Lean Approaches for Healthcare Transformation,94,Presentation,Fulton | Renaissance Waverly Hotel,6/1/2025 15:00,6/1/2025 16:20,,
130,Lean Principles and Process Improvement in Healthcare Delivery,95,Presentation,Fulton | Renaissance Waverly Hotel,6/1/2025 16:30,6/1/2025 17:50,,
131,Improving Healthcare Delivery through Adaptive Strategies,96,Presentation,Ascot | Renaissance Waverly Hotel,6/1/2025 8:00,6/1/2025 9:20,,
132,Optimization Strategies for Sustainable Healthcare Systems,97,Presentation,Ascot | Renaissance Waverly Hotel,6/1/2025 12:00,6/1/2025 13:20,,
133,Analytics and Modeling to Inform Health Decision-Making,98,Presentation,Ascot | Renaissance Waverly Hotel,6/1/2025 13:30,6/1/2025 14:50,,
134,Modeling and Simulation in Critical Care Delivery,99,Presentation,Ascot | Renaissance Waverly Hotel,6/1/2025 15:00,6/1/2025 16:20,,
135,Challenges and opportunities in health systems research in the era of AI,,Special Session,Ascot | Renaissance Waverly Hotel,6/1/2025 16:30,6/1/2025 17:50,Prestigious researchers will join this panel to discuss the challenges and opportunities in health systems research based on their experience.,36
136,AI and Data Analytics for Healthcare,100,Presentation,Ascot | Renaissance Waverly Hotel,6/2/2025 8:00,6/2/2025 9:20,,
137,IISE Transactions on Healthcare Systems Engineering: Meeting the Editors,,Special Session,Ascot | Renaissance Waverly Hotel,6/2/2025 15:00,6/2/2025 16:20,"This special session will invite editorial board members of the IISE Transactions on Healthcare Systems Engineering to share insights on how to get published in this flagship journal of health systems engineering research. 
",37
138,Informing Cancer Control Policy Through Mathematical Modeling: The Cancer Intervention and Modeling Surveillance Modeling (CISNET) Experience,,Special Session,Ascot | Renaissance Waverly Hotel,6/2/2025 16:30,6/2/2025 17:50,"This presentation focuses on the pivotal role of mathematical modeling in optimizing breast cancer screening strategies, with a particular emphasis on the University of Wisconsin Breast Cancer Simulation Model (UWBCS), a member of the National Cancer Institute’s Cancer Intervention and Surveillance Modeling Network (CISNET). Research efforts in this area were initiated with the objective of developing personalized mammography screening schedules tailored to a woman’s individual risk profile and prior screening history. To this end, a finite-horizon partially observable Markov decision process (POMDP) model was formulated and solved optimally. This presentation will provide an overview of the UWBCS model, including its development, key components, calibration processes, and real-world policy impacts, highlighting the profound influence that rigorous mathematical modeling can exert on public health decision-making.",38
139,Advanced Analytical Approaches in Health Risk and Diagnostic Modeling,101,Presentation,Fulton | Renaissance Waverly Hotel,6/2/2025 8:00,6/2/2025 9:20,,
140,Machine Learning Applications for Intelligent Healthcare,102,Presentation,Fulton | Renaissance Waverly Hotel,6/2/2025 13:30,6/2/2025 14:50,,
141,Data-Driven Decision Support for Healthcare,103,Presentation,Fulton | Renaissance Waverly Hotel,6/2/2025 15:00,6/2/2025 16:20,,
142,Innovative Approaches to Healthcare Personnel Scheduling,104,Presentation,Fulton | Renaissance Waverly Hotel,6/2/2025 16:30,6/2/2025 17:50,,
143,Advancing Public Health Systems through Engineering Innovation,105,Presentation,Fulton | Renaissance Waverly Hotel,6/3/2025 8:00,6/3/2025 9:20,,
144,Approaches to Public Health Access and Risk Management,106,Presentation,Fulton | Renaissance Waverly Hotel,6/3/2025 12:00,6/3/2025 13:20,,
145,Innovations in Healthcare Delivery and Clinical Operations,107,Presentation,Fulton | Renaissance Waverly Hotel,6/3/2025 13:30,6/3/2025 14:50,,
146,Artificial Intelligence for Healthcare Solutions,108,Presentation,Fulton | Renaissance Waverly Hotel,6/3/2025 15:00,6/3/2025 16:20,,
147,Analytics for Pandemic Response and Recovery,109,Presentation,Ascot | Renaissance Waverly Hotel,6/3/2025 8:00,6/3/2025 9:20,,
148,Predictive Analytics for Improving Health Outcomes,110,Presentation,Ascot | Renaissance Waverly Hotel,6/3/2025 12:00,6/3/2025 13:20,,
149,Predictive Modeling and Decision Support in Disease Management,111,Presentation,Ascot | Renaissance Waverly Hotel,6/3/2025 13:30,6/3/2025 14:50,,
150,Human-Centered Design and Technology Integration in Healthcare,112,Presentation,Ascot | Renaissance Waverly Hotel,6/3/2025 15:00,6/3/2025 16:20,,
151,Operational Excellence Session 2,113,Presentation,101 | Cobb Galleria Centre,6/2/2025 8:00,6/2/2025 9:20,,
152,Operational Excellence Session 3 - Healthcare Applications,114,Presentation,101 | Cobb Galleria Centre,6/2/2025 12:00,6/2/2025 13:20,,
153,Operational Excellence Session 4,115,Presentation,101 | Cobb Galleria Centre,6/2/2025 16:30,6/2/2025 17:50,,
154,Operational Excellence Session 5,,Special Session,101 | Cobb Galleria Centre,6/3/2025 8:00,6/3/2025 9:20,,39
155,Operational Excellence Session 6,116,Presentation,101 | Cobb Galleria Centre,6/3/2025 12:00,6/3/2025 13:20,,
156,Operational Excellence Session 7,117,Presentation,101 | Cobb Galleria Centre,6/3/2025 13:30,6/3/2025 14:50,,
157,Human Factors & Ergonomics - Automated Vehicle and Human Interaction,118,Presentation,112 | Cobb Galleria Centre,6/1/2025 8:00,6/1/2025 9:20,,
158,Human Factors & Ergonomics - Exoskeleton,119,Presentation,112 | Cobb Galleria Centre,6/1/2025 12:00,6/1/2025 13:20,,
159,Human Factors & Ergonomics - Extended Reality Session 1,120,Presentation,112 | Cobb Galleria Centre,6/1/2025 13:30,6/1/2025 14:50,,
160,Human Factors & Ergonomics - Human and AI,121,Presentation,112 | Cobb Galleria Centre,6/1/2025 15:00,6/1/2025 16:20,,
161,Human Factors & Ergonomics - Cognitive Workload,122,Presentation,112 | Cobb Galleria Centre,6/1/2025 16:30,6/1/2025 17:50,,
162,Human Factors & Ergonomics - Interface Design and Usability,123,Presentation,118 | Cobb Galleria Centre,6/1/2025 8:00,6/1/2025 9:20,,
163,Human Factors & Ergonomics - Human Behavior Monitoring and Assessment,124,Presentation,118 | Cobb Galleria Centre,6/2/2025 15:00,6/2/2025 16:20,,
164,Human Factors & Ergonomics - Experiences and Trust in Technology,125,Presentation,118 | Cobb Galleria Centre,6/1/2025 15:00,6/1/2025 16:20,,
165,Human Factors & Ergonomics - Physical Ergonomics #1,126,Presentation,112 | Cobb Galleria Centre,6/2/2025 13:30,6/2/2025 14:50,,
166,Human Factors & Ergonomics - Human-Centered Approach,127,Presentation,112 | Cobb Galleria Centre,6/2/2025 15:00,6/2/2025 16:20,,
167,Human Factors & Ergonomics - Safety,128,Presentation,112 | Cobb Galleria Centre,6/2/2025 16:30,6/2/2025 17:50,,
168,Human Factors & Ergonomics - Machine Learning in Human Systems,129,Presentation,118 | Cobb Galleria Centre,6/2/2025 16:30,6/2/2025 17:50,,
169,Human Factors & Ergonomics - AI and Data-Driven Research,130,Presentation,112 | Cobb Galleria Centre,6/3/2025 8:00,6/3/2025 9:20,,
170,Technology and Psychology in Ergonomic Research,131,Presentation,118 | Cobb Galleria Centre,6/3/2025 8:00,6/3/2025 9:20,,
171,Human Factors & Ergonomics - Workload Measurements,132,Presentation,112 | Cobb Galleria Centre,6/3/2025 12:00,6/3/2025 13:20,,
172,Human Factors & Ergonomics - Extended Reality Session 2,133,Presentation,112 | Cobb Galleria Centre,6/3/2025 13:30,6/3/2025 14:50,,
