,paper_id,paper_title,prim_audience,abstract,session_item_index,room_name,session_name,session_id
10,5807.0,Explainable Federated Bayesian Causal Inference and Its Applications in Advanced Manufacturing,,"Causal inference has recently gained notable attention across various fields like biology, healthcare, and environmental science, especially within explainable artificial intelligence (xAI) systems, for uncovering the causal relationships among multiple variables and outcomes. Yet, it has not been fully recognized and deployed in the manufacturing systems. In this paper, we propose an explainable, scalable, and flexible federated Bayesian (xFB) learning framework to explore causality through the global treatment effect for manufacturing system. By leveraging federated Bayesian learning, we efficiently sample global parameters to derive the propensity score for each client. We then personalize the global parameter and estimate the treatment effect using propensity score matching (PSM). Trough simulations with various datasets and a real-world Electrohydrodynamic (EHD) printing data, we demonstrate that our method outperforms basic Bayesian causal inference and several state-of-the-art federated learning benchmarks.",4,120 | Cobb Galleria Centre,Bayesian and Markov Models for Engineering Systems,2
11,5814.0,Geometry-aware Active Learning of Spatiotemporal Dynamic Systems,Academician,"The rapid developments in advanced sensing and imaging have significantly enhanced information visibility, opening opportunities for predictive modeling of complex dynamic systems. However, sensing signals acquired from such complex systems are often distributed across a 3D geometry and rapidly evolving over time, posing significant challenges in spatiotemporal predictive modeling. This paper proposes a geometry-aware active learning framework for modeling spatiotemporal dynamic systems. Specifically, we propose to effectively integrate the temporal correlations and geometric manifold features via a spatiotemporal Gaussian Process, enabling reliable prediction of high-dimensional dynamic behaviors. Additionally, we develop an adaptive active learning strategy to strategically identify informative spatial locations for data collection and further maximize the prediction accuracy. This strategy achieves the adaptive trade-off between the prediction uncertainty and geodesic-distance-based space-filling design. We implement the proposed framework to model the spatiotemporal electrodynamics in a 3D heart geometry. Numerical experiments demonstrate that our framework outperforms traditional approaches lacking the mechanism of geometric information incorporation or effective data collection.",1,120 | Cobb Galleria Centre,Bayesian and Markov Models for Engineering Systems II,3
12,6532.0,Accelerated Discovery of Solvent Ratios for Aerosol Jet Printing Inks Using Temporal Multi-Objective Bayesian Optimization,,"Aerosol-Jet Printing (AJP), a direct-write process, deposits functional materials onto substrates to create electrically conductive features for flexible electronics and printed circuits. However, a critical challenge in AJP lies in the complex temporal dynamics of solvent evaporation during printing, where uncontrolled evaporation affects structural integrity and functional performance. Classical approaches to optimizing solvent compositions rely on time-consuming trial-and-error experiments, significantly diminishing AJP's rapid manufacturing advantage. While researchers can specify ideal mass retention targets across time points based on their understanding of print quality requirements, achieving these targets remains challenging due to the unknown relationship between multiple solvents and temperature. To overcome the abovementioned difficulties, we introduce a closed-loop data-driven optimization framework, that incorporates domain knowledge of desired mass retention and operates on a six-dimensional design space. Our study comprises five solvent components (xylenes, terpineol, isopropyl alcohol, and toluene, d-limonene) and temperature. The objective is to minimize the discrepancy between predicted and expert-defined target mass retention values across five-time points. This methodology integrates multi-output Gaussian Process (GP) modeling with an asymmetric Bayesian discrepancy covariance structure to capture temporal dependencies in solvent evaporation dynamics. Additionally, we employ Expected max-min improvement as an acquisition function to design experiments sequentially, efficiently exploring the different solvent proportions while minimizing the number of required experiments. Our approach advances traditional optimization procedures by integrating uncertainty quantification with efficient design sampling. Furthermore, we validate our framework's effectiveness by achieving optimal solvent proportions that match desired mass fraction targets through real-world experiments, successfully bridging domain expertise and practical implementation.",2,120 | Cobb Galleria Centre,Bayesian and Markov Models for Engineering Systems II,3
13,8932.0,Partially Observable Markov Decision Processes (POMDP) Framework for Decision-Making Under Uncertainty Using Current Detection Based Monitoring System,Academician,"In Electrohydrodynamic printing (EHD), maintaining consistent printing quality and specifications remains challenging due to the complex relationships between operational parameters. This study demonstrates using the Partially Observable Markov Decision Processes (POMDP) framework to create an EHD printing closed-loop control system designed to enhance the decision-making process under uncertainty. The dynamic nature of EHD printing facilitates modeling the process as a sequential problem where the actual printed pattern specification is not directly observable in real-time, however, operational parameters will be adjusted according to observational feedback from a current detection-based monitor system. The POMDP framework defines states as the line width segment of the printed pattern. These states are developed by unsupervised machine-learning algorithms that explore the printed lines and discover inclusive line width segments. These segments describe the state space. Note that image-processing techniques are used to engineer and extract features from final output microscope images which feed into machine learning algorithm. Actions modify key operational parameters such as the applied voltage and standoff distance, while observations are the signal received from the monitoring system after being processed. Different algorithms are applied to find the optimal solution for the POMDP problem in EHD printing settings. The results evaluated the performance and applicability of multiple solution algorithms including exact approaches, approximation approaches, and other planning-based approaches. This work offers a reliable and robust quality assurance framework for EHD settings that would facilitate automation, handle process variability, and improve final quality.",3,120 | Cobb Galleria Centre,Bayesian and Markov Models for Engineering Systems II,3
14,8540.0,Bayesian Optimization of System Designs using Hybrid Physical and Digital Experiments,Academician,"We consider the problem of learning and optimizing the performance of a system by sequentially executing a limited number of physical and digital experiments on system designs within a design space. In this problem, physical experiments are assumed to be unbiased but costly. By comparison, digital experiments (e.g., using a simulation model) are assumed to be less costly, but their response may be biased due to the simulation model’s inability to fully represent the physical system. This problem has numerous applications, including optimizing the design of an engineered system whose performance (e.g., mechanical properties and reliability) is affected by various design variables as well as external and internal stressors. Without digital experiments, the problem of sequentially planning physical experiments amounts to optimizing a noisy and expensive-to-evaluate black-box function, which can be solved using Bayesian Optimization (BO). Our research extends BO by planning digital experiments between subsequent physical experiments for the purpose of (i) calibrating the simulation model and (ii) exploring solutions likely to generate a desirable physical experiment response. We evaluate the proposed methodology, referred to as “Simulation-Enhanced Bayesian Optimization” (SEBO), using a number of one- and two-dimensional benchmark functions. A notional bias function is utilized to characterize the simulation model’s bias as a function of the design variables and simulation model parameters. To demonstrate the advantages of the proposed methodology, we compare SEBO and BO with respect to the number of physical and digital experiments required to exceed a desired objective function value.",4,120 | Cobb Galleria Centre,Bayesian and Markov Models for Engineering Systems II,3
15,5756.0,Joint Model for Multi-Type Failure Event Prediction from Multi-Sensor Time Series and Survival Data,Academician,"Modern industrial systems often have multiple components subject to multiple types of failure, and their conditions are monitored by multiple sensors, generating multiple time-series signals. Additionally, time-to-failure data are commonly available. Predicting multiple components' remaining useful life (RUL) is crucial by leveraging multi-sensor time series and multi-type failure event data. In most existing models, failure mode identification and RUL prediction are performed independently, ignoring the inherent relationship between these two tasks. Some models integrate multiple failure modes classification and event prediction using black-box machine learning approaches, which lack statistical rigor and cannot characterize the inherent uncertainty in the system and data. This paper introduces a unified approach to jointly model the multi-sensor time-series data and RUL prediction concerning multiple failures. We integrate a Cox proportional hazards model with a Multi-output Convolutional Gaussian Process (MCGP) in a hierarchical Bayesian framework. We employ a Dirichlet prior to account for multiple failure modes to precisely capture distinct degradation paths specific to each failure mode and accurately predict the failures within the Cox proportional hazard model. Variational Bayes are used for inference, where we derive an Evidence Lower Bound (ELBO). Due to the unified framework that characterizes the associations between multiple sensor signals and multi-type failure events and their uncertainties, the proposed method outperforms existing methods.",1,120 | Cobb Galleria Centre,"Gaussian Process and its Advances in Modeling, Prognosis, and Optimization",4
16,6553.0,Constrained Bayesian Optimization under Bivariate Gaussian Process with Application to Curing Process Optimization,Academician,"Bayesian Optimization (BO), leveraging Gaussian Process (GP) models, has proven to be a powerful tool for minimizing expensive-to-evaluate objective functions by efficiently exploring the search space. Extensions, such as Constrained Bayesian Optimization (cBO), have further enhanced BO’s utility in practical scenarios by focusing the search within feasible regions defined by constraint functions. However, a significant limitation in cBO arises from the standard assumption of independence between objective and constraint functions, which may not hold in real-world applications where these functions are often correlated. To address this, we introduce a Bi-Variable Gaussian Process (BiV-GP) model within a constrained BO framework that models objective and constraint functions as correlated outputs of multiple Gaussian Processes. By capturing these dependencies directly, the BiV-GP model aims to improve optimization performance, particularly for problems characterized by complex interdependencies. Nevertheless, our experimental results indicate that BiV-GP struggles to consistently outperform simpler models like Ordinary Kriging. This underperformance can be attributed to the model’s reliance on a separable covariance matrix for representing dependencies, which may inadequately capture the relationships between functions and interactions across multiple dimensions. Additionally, the complexity of the BiV-GP model introduces challenges related to parameter estimation and computational efficiency. We show case the proposed approach with a case study on curing process optimization.",2,120 | Cobb Galleria Centre,"Gaussian Process and its Advances in Modeling, Prognosis, and Optimization",4
17,7004.0,Gaussian Processes (GPs) for spatial-temporal power curve estimation,,"In this study, we address the challenge of modeling wind power curves by incorporating the effects of terrain. Unlike environmental variables such as wind speed and temperature, which vary both spatially and temporally, terrain features such as ruggedness, slope, and ridges vary between turbine locations but remain constant over time. To effectively handle these two modes of variation, we employ a Kronecker product Gaussian Process (GP) model. By jointly modeling data from multiple turbines, this approach integrates terrain information into the power curve estimation process, leading to more accurate, site-specific predictions. Moreover, it enhances the model’s generalizability to turbines located in different terrains, underscoring the value of incorporating spatially-varying terrain data in wind energy forecasting.",3,120 | Cobb Galleria Centre,"Gaussian Process and its Advances in Modeling, Prognosis, and Optimization",4
18,8605.0,Federated Automatic Latent Variable Selection in Multi-output Gaussian Processes,Academician,"This paper explores a federated learning approach that automatically selects the number of latent processes in multi-output Gaussian processes (MGPs). The MGP has seen great success as a transfer learning tool when data is generated from multiple sources/units/entities. A common approach in MGPs to transfer knowledge across units involves gathering all data from each unit to a central server and extracting common independent latent processes to express each unit as a linear combination of the shared latent patterns. However, this approach poses key challenges in (i) determining the adequate number of latent processes and (ii) relying on centralized learning which leads to potential privacy risks and significant computational burdens on the central server. To address these issues, we propose a hierarchical model that places spike-and-slab priors on the coefficients of each latent process. These priors help automatically select only needed latent processes by shrinking the coefficients of unnecessary ones to zero. To estimate the model while avoiding the drawbacks of centralized learning, we propose a variational inference-based approach, that formulates model inference as an optimization problem compatible with federated settings. We then design a federated learning algorithm that allows units to jointly select and infer the common latent processes without sharing their data. We also discuss an efficient learning approach for a new unit within our proposed federated framework. Simulation and case studies on Li-ion battery degradation and air temperature data demonstrate the advantageous features of our proposed approach.",4,120 | Cobb Galleria Centre,"Gaussian Process and its Advances in Modeling, Prognosis, and Optimization",4
19,5794.0,Numerical approach for modelling defect effects on exhaust gas temperature of gas turbine,Academician,"Ensuring reliable and efficient operation of gas turbines is paramount for minimizing downtime, reducing maintenance costs, and preventing catastrophic failures in power plants. This study models the effects of defects on exhaust gas temperature distributions in gas turbines operated by a Hong Kong power plant. While machine learning and data-driven methods are commonly leveraged for fault detection, their effectiveness is constrained by limited failure data, hindering accurate classification of fault types and locations. To address this scarcity, a physics-based model was developed to generate exhaust temperature distributions under different fault conditions. Specifically, the hot gas path—including the combustion and turbine sections—of the GE 9FA gas turbine was simulated and analyzed using multi-physics modelling and simulation. Geometrical dimensions were obtained through on-site measurements, ensuring that the simulation models closely represent operational turbines despite potential minor measurement uncertainties. Defects were introduced by modifying boundary conditions, such as altering the air-fuel ratio, and adjusting the geometry to simulate operational anomalies like leakage, material loss, or breakage. Multi-physics modelling and simulation including combustion, temperature, and fluid flow were conducted to capture the turbine's thermal behavior under these conditions. The patterns of resulting temperature distribution illustrate the influence of defects on exhaust gas temperatures and identify critical areas susceptible to failure. Furthermore, the defect-generated data were utilized to validate the accuracy and reliability of the physics-based model. This work provides a framework for defect analysis in gas turbines, compensating for the lack of empirical failure data and enhancing predictive maintenance strategies.",1,105 | Cobb Galleria Centre,Data Driven Analysis under Data Constraints,5
20,6258.0,Theoretical Analysis and Design of An Online Monitoring and Sampling Scheme Under Partial Observations,Academician,"Rapid advancements in sensor technology have enabled high-dimensional streaming data collection for real-time system monitoring across diverse applications. However, due to constraints such as limited sensors, transmission bandwidth, and data storage, only a subset of observations can be collected at each data acquisition time. Although adaptive sampling strategies have been proposed to be integrated into monitoring schemes for quick anomaly detection, the theoretical analysis of detection performance in practical settings has not been addressed. Few studies have provided upper bounds for the average detection time, but the bounds are either asymptotic or excessively large, failing to provide valuable guidance on parameter design for optimal detection performance in practical use. To fill this gap, we propose a holistic monitoring-based probabilistic sampling framework under partial observations and theoretically analyze the average detection time to inform optimal design. By leveraging the sampling probabilities of variables, which are explicit functions of monitoring statistics, we derive formulas for practical average detection time as functions of design parameters and system settings, such as the number of sampled variables, total variables in the system, and anomalous variables. These theoretical results enable the determination of parameter settings and number of sampled variables to achieve optimal detection performance while satisfying false alarm requirements and considering practical resource constraints such as sampling costs. Simulation studies across various parameters and system settings validate the effectiveness of the theoretical results, demonstrating significant practical value for optimal performance design.",2,105 | Cobb Galleria Centre,Data Driven Analysis under Data Constraints,5
21,6559.0,Robust Anomaly Detection under Data Contamination for Pixel-Level Defective Region Segmentation,Academician,"Industrial image-based anomaly detection plays a significant role in quality control, where pixel-level defective region segmentation is an important task to locate anomalies for various applications. Due to the data-abundance and label-scarcity nature of industrial products, the unsupervised learning approach has attracted great attention because such a method does not require a labeling process. However, it is often based on a normality assumption that all training data is normal, which can be broken in practice. Thus, a contaminated dataset, i.e., a mixture of normal and anomalous samples without label, should be considered. To deal with this challenge, we propose an unsupervised robust anomaly detection framework under data contamination for pixel-level defective region segmentation. Specifically, unlike matrix-decomposition-based methods that need certain explicit assumptions on the normal background, our proposed model, built on an autoencoder structure with a memory module, allows flexible patterns presented in the background and holds two mild assumptions: (i) across-sample low-rank, and (ii) sparse anomalies. Additionally, the proposed model will be trained and pixel-wisely locate anomalies by decomposing each input image into a normal background and an anomaly mask in a one-stop fashion. The effectiveness is demonstrated in the case study on a public anomaly detection dataset.",3,105 | Cobb Galleria Centre,Data Driven Analysis under Data Constraints,5
22,4945.0,Data-Driven Failure Prediction in Metro Trains: An ML-Based Approach to Predictive Maintenance,Practitioner,"This study aims to predict metro-train failures using machine learning (ML) models, specifically focusing on XGBoost and Random Forest. Data from the MetroPT dataset were labeled based on time intervals relative to failure: from the start of the dataset to 24 hours before failure, 24 to 2 hours before, 2 hours prior, and the failure event itself. Sensor data, including analog signals (pressure, temperature, current) and digital signals (control, discrete signals), as well as GPS data (latitude, longitude, speed), were utilized to train and evaluate the models. The XGBoost model outperformed Random Forest, achieving high accuracy and precision in failure prediction, particularly within the 12-to-2-hour window before failure. The models' performance was assessed through multi-class ROC curves, reflecting the true and false positive rates across the four time categories. A confusion matrix further illustrated the accuracy by comparing predicted and true labels. Feature importance analysis highlighted key variables like DV-pressure, Reservoirs, oil_compressor, TP3, and TP2, which had high predictive power for failures. This work supports predictive maintenance, enabling timely interventions to extend the remaining useful life (RUL) and conduct root cause analysis (RCA).",1,105 | Cobb Galleria Centre,Data-Driven Modeling and Monitoring for Smart Systems,6
23,6199.0,Online Structural Change-point Detection of High-dimensional Streaming Data via Sparse Spectral Graphical Models,Academician,"In complex systems, high-dimensional streaming data collected by sensors provides valuable insights into system states through the analysis of cross-correlation structures between entities. This paper introduces a novel online structural change-point detection methodology aimed at estimating the evolving cross-correlation structure of HD streaming data in real-time. Traditional methods for dynamic graphical modeling of system structures suffer from computational inefficiencies and tend to introduce fictitious dynamics when changes are sparse or absent. Existing approaches also face limitations in sequential change-point detection and real-time graphical representation. To address these challenges, our approach sequentially estimates the cross-correlation structure within sliding time windows by constructing sparse spectral graphical models that capture conditional dependencies in the frequency domain. The sparsity within each time window and the regularization between consecutive windows are achieved using the group LASSO penalty, and structural changes are monitored with an exponentially weighted moving average control chart, allowing for efficient and timely detection of state changes. The methodology is implemented using the Alternating Direction Method of Multipliers, facilitating real-time monitoring of system dynamics. The performance of the proposed methodology is demonstrated through simulations and case studies.",2,105 | Cobb Galleria Centre,Data-Driven Modeling and Monitoring for Smart Systems,6
24,6241.0,Exploration and Evaluation of Multiple Types of Regression for limited sample Probability of Detection,,"This paper provided statistical approaches to improve Probability of Detection (POD) analysis when sample sizes were limited. Due to the scarcity of experimental data, the empirical POD method could not meet the required set of NDE simulated flaws. And we also assumed that there was not enough well-known physics information to produce simulated data so traditional Model-Assisted POD (MAPOD) might not work. To address the above situation, we applied advanced statistical regression models and combined them with a physics-based model to reduce uncertainties caused by limited sample sizes. To estimate the parameters of the model, we used a range of techniques—such as robust regression, Bayesian methods, bootstrapping for limited-sample POD, and physics-based POD models—to analyze these limited samples. To this end, we conducted extensive simulation studies across diverse scenarios, enabling us to compare the performance of MAPOD methods against a presumed ground truth. The POD estimates derived from a large dataset served as the ground truth. We then randomly sampled smaller subsets from this dataset to simulate limited-sample conditions. By comparing the MAPOD estimates with the ground truth, we evaluated the impact of different methods under various conditions, including the presence of outliers and nonlinear relationships in the data. Our findings offer valuable insights into how different MAPOD methods influence POD analysis in limited-sample studies across multiple scenarios. The use of such methods can importantly improve estimation precision. This research provides practitioners with a practical framework for selecting appropriate MAPOD methods tailored to specific conditions.",3,105 | Cobb Galleria Centre,Data-Driven Modeling and Monitoring for Smart Systems,6
25,8556.0,Point-ITR: Interpretable Task-Oriented Importance Sampling for Large-Scale 3D Point Cloud Processing,Practitioner,"The increasing adoption of advanced three-dimensional (3D) scanning technologies, such as Light Detection and Ranging (LiDAR) and structured light systems, has made large-scale point clouds containing millions of 3D measurement points standard in applications like autonomous driving and manufacturing. However, processing immense amounts of 3D data imposes significant computational loads, often resulting in discarded critical information and suboptimal outcomes for downstream tasks. This paper introduces Point-ITR, a task-oriented sampling method that selectively retains the most informative points within large-scale point clouds and offers interpretability. Specifically, we propose a gradient-based importance sampling framework for intra-sample selection (selecting points within a 3D point cloud) and a feature-based weighting scheme for inter-sample selection (selecting among different 3D point cloud samples). Additionally, we introduce an iterative random sampling (ItrRS) module for preprocessing and an Offset Residual Block that utilizes a reference design model to accelerate training and testing, which allows a simple fully connected network to process large-scale point clouds. Our approach not only improves prediction accuracy across downstream tasks but also ensures that the rich detail captured is fully leveraged for interpretation, offering a more effective and efficient solution. We validate our methodology through simulation studies and real-world case applications in additive manufacturing, demonstrating its robustness and practical applicability.",1,105 | Cobb Galleria Centre,Defect Detection in 3D Point Cloud Inspection,7
