paper_title,abstract,session_name,session_id,paper_id
Regulating the Coordination Environment of Diatomic Cu-Fe Catalysts in Electroreduction of CO2 to Ethane via a facile seed-assisted synthetic strategy.," A promising strategy for combating climate change transforming atmospheric carbon dioxide (CO2) into valuable chemicals and fuel. Cu-based single-atom electrocatalysts (Cu-SACs) are a potential catalyst to facilitate the electrolytic conversion of carbon dioxide (CO2) into substantial amounts of multi-carbon compounds with high selectivity. However, at high current densities, CO2 conversion to multi-carbon products still has a low Faraday efficiency, which is not enough to satisfy the real commercial desire. Here, regulating the coordination environment of single-atom copper electrocatalysts and modifying them into diatomic Cu-Fe catalysts through a facile seed-assisted strategy. This technique causes copper to dimerize with iron, leading to improved atom utilization efficiency, tailored catalytic activities, and high catalytic selectivity, which surpasses C-C coupling and multi-carbon products. The synthesized electrocatalysts have been revealed to be considerably more effective than Cu SAC and Fe cluster sites at electrocatalytic CO2 reduction at 0.62 V (vs. RHE) with a Faradaic efficiency of C2H6 > 77% over a wide electrochemical potential window (0.55 to 1 V versus RHE) and a current density of 56 mA cm-2 in a 0.5 M KHCO3 solution in an H-cell setup. Furthermore, this electrocatalysts deliver FEs (Faraday efficiencies) for the CO2 reduction to C2H6 of over 86% with a current density surpassing 250 mA cm2, outperforming the abilities of the majority of the CO2 electrocatalysts that have been reported. This study offers a feasible strategy for the future development of novel, inexpensive controlled dimeric electrocatalysts with exceptional efficiency and C2+ selectivity for electrocatalytic reduction of carbon dioxide.s.",Poster Presentations,169,11
Role of Artificial intelligence (AI) in Quality Management," Artificial intelligence (AI) is transformational to business, including quality management function. Quality management is the discipline of ensuring that products and services meet or exceed customer expectations and comply with relevant standards and regulations. There is little published regarding the ability of AI to automate, optimize and transform quality management processes, such as planning, assurance, control, and improvement. This paper reviews the current state of AI applications in quality management, discusses the benefits and challenges of AI adoption, and proposes some future directions for research and practice. The paper aims to provide a comprehensive overview of the role of AI in quality management and inspire new ideas and collaborations among researchers and practitioners.",Statistical Learning and Artificial Intelligence for Quality Control I,211,12
Adherence to Colorectal Cancer Screening Using Nationwide Unbalanced Data," The study examined the current status of the colorectal cancer screening adherence for the adults aged 50-75 years old according to the U.S. Preventive Service Task Force (USPSTF) guidelines. We used the most recent nationwide representative data from the 2018 Behavioral Risk Factor Surveillance System survey. The adherence rate was 76.5% in 2018 among the 208,616 respondents that were included in the study. Factors that reflected demographic, socioeconomic, health-related or behavior characteristics of the participants were examined to evaluate their influence on the compliance with FOBT, colonoscopy, sigmoidoscopy screening methods, or at least one of the three. We found the following factors resulted in a lower colorectal cancer screening adherence: younger, Asian or Hispanic, male, never married, lower income, lower education attainment, employed/student, fair health condition, Indian health service, last checkup more than 1 year, everyday/someday smoker, heavy drinker and underweight. The unbalanced feature of the colorectal cancer screening data was also addressed in our study. By fitting logistic regression models with the original unbalanced data, oversampling data and undersampling data, we identified different strategies to tackle the unbalanced data issues. Results related to the overall screening adherence and colonoscopy adherence were not affected significantly by the unbalanced features of the dataset. However, when analyzing the screening data associated with FOBT and sigmoidoscopy, researchers need be careful about the more severe unbalanced data structure, which produces high PAC but extremely low sensitivity. To address this issue, undersampling technique provides better performance than the oversampling method.",Health Systems,78,13
A Human-Centered Assessment of Andon Boards in an Automotive Manufacturing Environment," This study examines the design and usability of Andon Boards from a Human Factors perspective. Andon Boards are visualization tools used in manufacturing plants to present the status of production stations and lines. A real case study was conducted in a modern automotive manufacturing plant where Andon Boards are used in various locations at the production area. Different employees were interviewed using semi-structured questions to gather feedback on the current design and identify areas for improvement. Qualitative analysis of the feedback using a thematic analysis method resulted in suggestions for an improved design that would enhance usability and reduce downtime. The main themes identified through thematic analysis provide recommendations for improving Andon Board design including simplifying displayed information, increasing the font size, considering additional displays, limiting the number of stations displayed, and incorporating visual and auditory cues. Future studies should consider how Human Factors improvements can factor into a complete systems analysis and redesign, and should address cost and feasibility concerns to increase the likelihood for industries to invest in improvements to Andon Boards.",Manufacturing & Design for Human Factors and Ergonomics,134,14
Relationship Between Conventional Workload Surrogates and VACP Assessments in Emergency Medical Services," Workload in Emergency Medical Services (EMS) has not been studied as a cumulative workday. This study investigates cumulative workload and the metrics this may be correlated with. Workload is estimated by utilizing a trace-based simulation which models an EMS crew member’s workday using dispatch data and distributions based on observation. The workload output is a time-weighted VACP (Visual, Auditory, Cognitive, Psychomotor) score. This measure was significantly correlated with NASA-TLX scores at the time of observation. Pearson correlation and linear regression were used to evaluate the influence of each metric on workload. Overall utilization and call response utilization explained workload the best, with strong positive correlations (0.88, 0.89) and significant linear regression models (R²=0.79, R²=0.77). Call volume yielded the lowest correlation (0.61) and lowest R² value (0.41) of the metrics studied, challenging their validity in fairly representing workload.",Healthcare Work Systems,90,15
On monitoring high-dimensional processes with individual observations," One of the significant challenges in monitoring the quality of products today is the high dimensionality of quality characteristics. In this paper, we address both Phase I analysis and Phase II monitoring of high-dimensional processes. We first propose a new charting statistic for high-dimensional multivariate processes based on the diagonal elements of the underlying covariance matrix. Then, we investigate the Phase I analysis when the available number of samples collected over time is limited and propose a robust procedure for parameter estimation in Phase I. This robust procedure is efficient in parameter estimation in the presence of outliers or contamination in the data. A consistent estimator is proposed for parameter estimation and a finite sample correction coefficient is derived and evaluated through simulation. Finally, a unified procedure for Phase I and II by employing a self-starting control chart is proposed. We assess the statistical performance of the proposed method in Phase I and II in terms of the probability of signal and average run length (ARL) criterion, respectively. This assessment is carried out in the absence and presence of outliers. We show that, in both phases, the proposed control chart scheme effectively detects various kinds of shifts in the process mean. Besides, we present two real-world examples to illustrate the applicability of our proposed method.",Statistical Learning and Artificial Intelligence for Quality Control I,211,16
An Innovative Approach for Optimal Resource Allocation in Emergency Departments," In hospital settings, emergency departments often face issues of overcrowding and operational malfunctions, given the uncertainties related to patient demand. The primary objective of this study is to identify and address operational challenges by merging design thinking principles with experimental regression design. An innovative approach is introduced that combines design thinking, the design of regression modelling, and discrete event simulation to improve resource allocation efficiency and reduce patient length of stay in hospital emergency departments. Design thinking encompasses several phases: comprehension, abstraction, ideation, testing, and implementation. Each phase incorporates discrete event simulation or regression modelling to thoroughly assess system performance. Multiple regression models were used to analyse the relationships and interdependencies between nurses, beds, physicians, and patient stay. This analysis provides insight into how key performance indicators would change with variations in resource allocation. Ultimately, the research aims to establish an optimal resource allocation strategy by exploring the dynamic interaction between resource management and patient waiting times. This, in turn, provides valuable information to hospital management decision makers, helping them to understand the key resource factors that influence patient flow. In particular, the results of a case study demonstrate significant reductions in patient length of stay, promising an improved overall patient experience. Therefore, our framework empowers healthcare institutions with the knowledge necessary for informed decision making and strategic changes that improve patient care and resource allocation, aligning with the overall objective of this study.",Resource Allocation and Workforce Planning in Health Systems,193,17
Facilitating Wider Access to Effective Medical Checklists: A Literature Search and Dataverse Expansion Project," Medical settings frequently employ checklists to enhance patient care and clinical processes. However, challenges such as poor checklist design and overreliance can limit the effectiveness of checklist interventions. We expanded a collection of checklists hosted on Borealis, a Canadian academic Dataverse repository, to promote widespread access to tested medical checklists. We collected checklists by searching through the Clinicaltrials.gov, PubMed, and CINAHL databases for relevant articles. Articles were imported into Covidence and screened for eligibility by two reviewers. articles that studied checklists as the primary intervention and had performance metrics to support the conclusions they made about their outcomes were eligible for inclusion. From 725 retrieved articles, 80 were selected for full-text review after title and abstract screening and 25 met the inclusion criteria. Most studies (n=20) reported that checklists improved outcomes by increasing worker task adherence and care quality, while reducing patient morbidity and readmission rates. However, three studies found checklists to be ineffective and two had inconclusive results. Ultimately, 18 articles describing 16 checklists were added to the Borealis repository; two articles had already been added in the past. The articles added included checklists on safe childbirths, anesthesia administration, and cardiopulmonary resuscitation training. The Borealis repository also had its searchability improved with the addition of keyword filters and Medical Subject Heading (MeSH) terms. There are now a total of 34 checklists available in the repository. As medical institutions often create checklists to support their own processes, enabling widespread access to these can prove beneficial to the greater healthcare community.",Information and Digital Systems in Health,105,18
Immersive Occupational Safety and Health Training: A Modular Virtual Reality-Based Process and Platform," For several decades, safety and health have been major concerns in the warehousing, logistics, and manufacturing sectors. Despite considerable advancements in methods, tools, equipment, and regulations, there has been no substantial reduction in accidents, particularly those of a fatal four. As a result, safety professionals and researchers have explored new and innovative ways to combat the problem. This paper contributes to workers’ health and safety by introducing an immersive training methodology enabled by a virtual reality process and platform. A modular virtual reality training platform (MVR-P) was developed, and a co-design process was applied to design each module. Three main modules related to health and safety training for the warehouse were considered namely the personal protection equipment module, pallet handling module, and pallet repairing module. In this platform, virtual interactive environments provide a solid training environment and generate syntactic data for evaluating long-term health risks. On the other hand, collaborative modular environments provide a solution to geographically distributed systems, which allows employees to connect and train remotely. The effectiveness of MVR-P is compared with traditional safety training in a pilot study. A quantitative approach was employed to analyze the data and investigate various aspects of the MVR-P. Based on the results, MVR-P is making great efforts to teach and test hazard identification situations, especially those relating to long-term health. The results also indicate that trainees' recall of knowledge would improve with MVR-P.",Organizational Ergonomics and Engineering Education,158,19
Enhancing Emergency Evacuation Efficiency through Centralized Decision-Making in Multi-Agent Systems," In the face of unpredictable hazards, such as fire and construction flaws, efficient emergency evacuation of people is a paramount concern. This research investigates the trade-offs between centralized and decentralized learning strategies, coupled with decentralized execution, within a multi-agent system tailored to emergency evacuation scenarios. Panic-induced decision-making often impedes rational thinking, and we introduce an insight into effective evacuation protocol in which non-panicked agents—non-panicked individuals—behave as super agents who make decisions for the group. Thus, it potentially expedites group evacuation in contrast to decentralized training-decentralized execution. Our primary objective is to scrutinize the merits and drawbacks of both centralized and decentralized learning strategies through comprehensive simulations. This analysis juxtaposes decentralized learning, accounting for crowd-induced clogging effects, against centralized learning, predicated on the assumption that agents possess exit proximity information and face no clogging constraints. Within a simulated single-floored library containing 20 or more agents, the study evaluates critical metrics, including the number of agents evacuated within a limited time and the total evacuation duration. Centralized learning excels over an extended period, as a short-term gain and long-term loss decision-making, against what decentralized learning result demonstrates. Concluding with delineating their pros and cons, we offer insights into potential trade-offs. Following this study, we will explore collaborative decision enhancement within groups operating under centralized decision-making frameworks. Such advancements hold the potential to revolutionize emergency evacuation protocols in multi-agent systems, ensuring a more effective response to unforeseen hazards.",Modeling Human Behavior,148,20
Exploring Challenge-Driven Learning Approaches for Competency Enhancement," Changing the learning model of an institution represents a great challenge, since it implies a change on a large scale, with many factors to be considered and with very important consequences in terms of quality and efficiency in learning. In this document, we will present an analysis of the learning process of a group of students in a design and analysis of experiments course using a new learning model and we will compare it with a series of groups that use a traditional model. We want to analyze whether the results of learning and development of skills by students provide sufficient evidence to consider that this new learning model presents results positive enough to justify the change in it. We took a sample of 60 students from our institution, and we compared them with a sample of the same size from a different institution, where they used a different learning model. To make the comparison, we used an argumentative exam that not only seeks correct answers but also provides evidence of the development of specific skills. The early results provide evidence that there is a difference in the quality of learning and skills development between one sample and another. We are sure that the results will provide statistical support that will allow conclusions to be drawn that will give us a clear idea not only of the results but also of the improvements to be implemented in both models to achieve better learning efficiency and skills development.",Innovative Learning Approaches in ISE Education,111,21
Integrated machine learning and genetic algorithms for a location production routing problem with additive manufacturing," In this research, we develop a Machine Learning (ML) based solution methodology for a location production inventory problem. The difference between the problem with classical location inventory routing problem is the production location can be moved in different periods with additive manufacturing technology. To solve the problem, we design a hybrid optimization algorithm that uses Genetic Algorithms as the main optimizer and neural network-based regression models for cost feedback for subproblems. To analyze the performance of proposed methods, the numerical tests and theoretical bounds are developed.",Routing 2,198,22
It’s All About Time - The Modernization of Work Measurement," As the demands of industry to deliver both efficiency and effectiveness climb to new levels, Time has become our new currency. Whether it is managing passengers and baggage at an airport gate, fulfilling online orders in a retail store or executing the critically important “last mile”, stakeholder success is determined by actions and decisions that are guided by Time. At the heart of all of this is Work Measurement. It is a fundamental ISE building block that enables Industrial/Systems Engineers to understand time and build solutions that optimize around it. While Work Measurement has been around for over 100 years, ew technologies and capabilities have made timely data collection more granular and accessible. ISE’s are definitely in the sweet spot as businesses convert this data to information that can be used to improve and measure business processes. With that in mind, the IISE Work Systems Division has launched a campaign labeled “It’s All About Time”, focused on rebuilding the awareness, and reinforcing the importance, of Work Measurement. Key activities include benchmarking Work Measurement in both Academia and Industry – and leveraging learnings across a multichannel communication and educational plan. By understanding what Work Measurement skills industry will need in 3-5 years, we can work with Academia to ensure new graduates have the proper skills to succeed from day one. This presentation will provide and update on our progress and dive deeper into industry applications of a “modernized” Work Measurement. Once again, It’s All About Time!!",Applications of Work Systems,17,23
Integer programming for project scheduling under storage and renewable resource constraints," Project scheduling is an important management task in many organizations across various industries. In general, projects require resources such as personnel or funds, whose availability is limited, which leads to the challenging problem of resource-constrained project scheduling. We consider the scheduling of a project consisting of a set of precedence-related project activities that require time and two types of resources for their execution: storage resources representing, e.g., the project budget; and renewable resources representing, e.g., some personnel or some equipment. Storage resources are consumed by activities at their start or produced at their completion, while renewable resources are allocated to an activity at its start and released at its completion. The resource-constrained project scheduling problem with consumption and production of resources consists of determining a minimum-makespan schedule such that all prescribed precedence relations are respected, the demand for each renewable resource never exceeds its capacity, and the stock level of each storage resource never falls below a prescribed minimum level. Due to the consideration of storage resources, the feasibility variant of this problem is NP-complete. We propose a novel compact mixed-integer linear programming model based on a novel type of sequencing variable. These variables allow us to identify which activities are processed in parallel and whether a sequencing of activities is necessary to respect the resource capacities. Our computational results indicate that our novel model significantly outperforms state-of-the-art MILP models from the literature for all considered scarcity settings of the storage resources.",Manufacturing Optimization,138,24
Advice to Graduating Students Their First Year Working," This presentation will offer some advice to graduating students applicable to their first year of working. It covers the following topics: Current Job, Volunteering, Project Management skills, Personal skills, In-house Training, Professional Societies, Career Planning, and Other Activities.",Personal Development II,163,25
Planning Your Career," Career Planning is an important and useful activity, whether you are looking for a job, thinking about changing jobs, or are just trying to figure out what to do next. This presentation will describe fifteen Career Planning steps that can be used during many stages of your career and your life. Each of the steps will be described, listing some of the key items to consider during each Career Planning step.",Personal Development I,162,26
Explore Your Career Choices," This presentation will look at a comparison of several Career Choices, in order for you to find your best choice, currently. Several Career Choices will be discussed in detail, including: changing jobs, changing companies, changing industries, changing locations, and changing careers.",Personal Development II,163,27
On Excess Risk Convergence Rates of Neural Network Classifiers," The recent success of neural networks in pattern recognition and classification problems suggests that neural networks possess qualities distinct from other more classical classifiers, such as SVMs or boosting classifiers. This paper studies the performance of plug-in classifiers based on neural networks in a binary classification setting as measured by their excess risks. Compared to the typical settings imposed in the literature, we consider a more general scenario that resembles actual practice in two respects: first, the function class to be approximated includes the Barron functions as a proper subset, hence smooth functions, and second, the neural network classifier constructed is the minimizer of a surrogate loss instead of the 0-1 loss so that gradient descent-based numerical optimizations can be easily applied. We study the estimation and approximation properties of neural networks to obtain a dimension-free, uniform rate of convergence. In the analysis of the estimation error, we obtain a novel result that relates the approximate excess risk to the approximate excess ϕ-risk, which is of interest on its own. Finally, we show that the rate obtained is, in fact, minimax optimal up to a logarithmic factor, and the lower bound obtained shows the effect of the margin assumption in this regime.",Deep Learning III,42,28
A Hybrid Structure-Based Semantic Segmentation Method for Industrial Measurement of Form and Position Tolerance on Chip Sockets," Chip socket is a mechanical and electrical system that establishes reliable electronic interconnection paths between the chip and the test board to realize signal transmission. Form and position tolerance control is the key to determine the quality of the chip socket. When confronted with highly precise CPU chip sockets with thousands of contacts distributed over a very small area, existing technologies still have difficulty satisfying the requirements for high-precision, fast, and on-line measurements simultaneously, which poses a major challenge to process stability and product quality. To resolve this, a hybrid model of tandem structure stitching (HTSS) is proposed for effective and efficient measurement of form and position tolerance of CPU chip sockets. The model front-end is a modified BiSeNet semantic segmentation network, which serves as an enhancement to the convolutional module by introducing a self-attention mechanism. Meanwhile, a RepVGG-style structural reparameterization is designed to decouple the training time and inference time architectures. Further, the feature maps extracted from the modified BiSeNet network are inputted into the OTSU model for further processing, and the chip contact form and positional tolerance is obtained by target size and position calculation. The accuracy of the HTSS model is verified by performing tolerance inspection experiments on a robotic vision measurement system. The results show that the model enables significantly more accurate and faster tolerance detection in real time. The model provides an effective and efficient method for improving the intelligence of tolerance measurement of precision devices.",Machine Learning in Manufacturing I,129,29
An optimization decision-support system to support undergraduate education planning," Academic Excellence Workshops (AEWs) at Syracuse University are one-credit classes designed for students in the College of Engineering and Computer Science (ECS). Each AEW section reinforces another class that has proven to be difficult for new ECS students, such as physics, calculus, chemistry, and designated first- or second-year engineering and computing classes. Each AEW section is facilitated by an experienced ECS undergraduate student with proven knowledge in topic of that section. At issue: ECS staff members are currently spending countless hours assigning facilitators to AEW sections that match the facilitator’s expertise, at times suitable for the facilitator and class corresponding to the section, and in classrooms that are available at the desired times. The manual process is inefficient and is incapable of handling schedule adjustments. To resolve these shortcomings, we have created an optimization system to prescribe facilitator-section-room assignments. The process begins by gathering data pertaining to facilitators, sections, and rooms into an Excel document. In particular, each facilitator indicates their time availability and preference to instruct an AEW section. The optimization support system uses this input to determine when each workshop is taught, who facilitates the workshop, and in which classroom the section is taught. The model ensures that each facilitator teaches no more than one AEW section (with limited permission to teach two AEW sections, provided that those sections support the same class). The results are then written to another Excel spreadsheet, allowing ECS staff to verify results, adjust assignments, and reoptimize as needed.",Planning and Scheduling,165,30
Are data-driven early warnings possible for wind turbine systems?," Unexpected failures in engineering systems such as wind turbines lead to most expensive maintenance actions and should be avoided if at all possible. Early warning is the key to reduce unexpected failures and the subsequent corrective maintenance actions. By ""data-driven early warning,"" we emphasize on the type of early warnings issued primarily based on the online data routinely collected by a turbine's SCADA (Supervisory Control And Data Acquisition) system. The lead time need for a beneficial early warning goes back as far as 3 months. The benefit of early warnings issued close to the failure events, like on the same day or the day before, is greatly diminished. But are data-driven early warning with 2-3 months lead time possible? If yes, how? Researchers have not agreed on this issue. This talk presents our current thoughts and preliminary work.",Predictive analytics for Wind Power Generation,171,31
